20151125,0.0mm
20151126,0.0mm
20151127,4.0mm
20151128,6.0mm
20151129,3.0mm
20151130,3.0mm
20151201,0.3mm
20151202,3.0mm
20151203,24.0mm
20151204,0.1mm
20151205,17.0mm
20151206,0.6mm
20151207,4.0mm
20151208,3.0mm
20151209,2.0mm
20151210,0.3mm
20151211,1.0mm
20151212,21.0mm
20151213,0.6mm
20151214,13.0mm
20151215,11.0mm
20151216,2.0mm
20151217,0.4mm
20151218,2.0mm
20151219,2.0mm
20151220,4.0mm
20151221,4.0mm
20151222,2.0mm
20151223,0.3mm
20151224,1.0mm
20151225,25.0mm
20151226,13.0mm
20151227,2.0mm
20151228,15.0mm
20151229,17.0mm
20151230,0.3mm
20151231,6.0mm
20150722,0.1mm
20150723,0.9mm
20150724,2.0mm
20150725,3.0mm
20150726,2.0mm
20150727,0.1mm
20150728,0.2mm
20150729,0.1mm
20150730,0.0mm
20150731,0.5mm
20150801,3.0mm
20150802,13.0mm
20150803,0.1mm
20150804,0.4mm
20150805,9.0mm
20150806,0.0mm
20150807,0.0mm
20150808,0.1mm
20150809,0.1mm
20150810,0.0mm
20150811,0.0mm
20150812,0.0mm
150930,0.1mm
20151001,0.1mm
20151002,0.1mm
20151003,0.0mm
20151004,2.0mm
20151005,2.0mm
20151006,0.2mm
20151007,0.0mm
20151008,2.0mm
20151009,0.0mm
20151010,0.0mm
20151011,0.0mm
20151012,0.0mm
20151013,0.0mm
20151014,0.1mm
20151015,0.0mm
20151016,0.0mm
20151017,0.0mm
20151018,0.3mm
20151019,0.0mm
20151020,0.1mm
20151021,0.0mm
20151022,0.0mm
20151023,4.0mm
20151024,0.1mm
20151025,0.0mm
20151026,12.0mm
20151027,4.0mm
20151028,1.0mm
20151029,0.4mm
20151030,7.0mm
20151031,0.0mm
20151101,0.3mm
20151102,0.1mm
20151103,0.0mm
20151104,1.0mm
20151105,11.0mm
20151106,0.8mm
20151107,1.0mm
20151108,18.0mm
20151109,6.0mm
20151110,2.0mm
20151111,2.0mm
20151112,6.0mm
20151113,1.0mm
20151114,7.0mm
20151115,4.0mm
20151116,2.0mm
20151117,7.0mm
20151118,8.0mm
20151119,0.5mm
20151120,0.2mm
20151121,1.0mm
20151122,0.1mm
20151123,3.0mm
20151124,0.0mm
20151125,0.0mm
20151126,0.0mm
20151127,4.0mm
20151128,6.0mm
20151129,3.0mm
20151130,3.0mm
20151201,0.3mm
20151202,3.0mm
20151203,24.0mm
20151204,0.1mm
20151205,17.0mm
20151206,0.6mm
20151207,4.0mm
20151208,3.0mm
20151209,2.0mm
20151210,0.3mm
20151211,1.0mm
20151212,21.0mm
20151213,0.6mm
20151214,13.0mm
20151215,11.0mm
20151216,2.0mm
20151217,0.4mm
20151218,2.0mm
20151219,2.0mm
20151220,4.0mm
20151221,4.0mm
20151222,2.0mm
20151223,0.3mm
20151224,1.0mm
20151225,25.0mm
20151226,13.0mm
20151227,2.0mm
20151228,15.0mm
20151229,17.0mm
20151230,0.3mm
20151231,6.0mm
20150813,0.0mm
20150814,0.0mm
20150815,0.0mm
20150816,3.0mm
20150817,0.1mm
20150818,0.4mm
20150819,0.2mm
20150820,3.0mm
20150821,0.0mm
20150822,4.0mm
20150823,0.4mm
20150824,0.0mm
20150825,14.0mm
20150826,1.0mm
20150827,2.0mm
20150828,0.1mm
20150829,0.2mm
20150830,0.0mm
20150831,0.9mm
20150901,0.0mm
20150902,0.1mm
20150903,0.0mm
20150904,0.1mm
20150905,0.0mm
20150906,0.0mm
20150907,0.0mm
20150908,0.0mm
20150909,0.1mm
20150910,0.0mm
